,MITRA,MITRA KERJA SAMA,JENIS KERJASAMA,SIGN,NOMOR,SIGN,NOMOR,MASA BERLAKU,MULAI,BERLAKU HINGGA,STATUS,DOKUMEN,
2018,K/L,Pupuk Indonesia (Persero),Nota Kesepahaman,Sekjen KKP,01/SJ-KKP/KB/V/2018,Direktur Utama,033.1/SP/DIR-D20/2018,3,5/18/2018,5/18/2021,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1dUDcMQNhIzq3uBwYJhCF6VVBsqZbxWVj/view?usp=drive_link
2018,Swasta,LPK Wakashio Gakkou,Perjanjian Kerja Sama,Ka. SUPM Tegal,0722/BRSDM-SUPM TGL/KS.310/V/2018,General Manager ,,3,5/9/2018,5/9/2021,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/15XYVQ4qol1wYVTyDN-KxTpctvCc4jks2/view?usp=drive_link
2018,K/L,BMKG,Kesepakatan Bersama,MKP,04/MEN-KP/KB/IV/2018,Ka. BMKG,KS.301/MoU.10/KB/IV/2018,3,4/23/2018,4/23/2021,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1kU6OF0WWtFPWDfzYFZBR1kiDoefV8sO_/view?usp=drive_link
2018,BUMN,Garuda Indonesia,Nota Kesepahaman,Sekjen KKP,KKP 03/MEN-KP/KB/IV/2018,Direktur Utama,IG/PERJ/MOU/DZ-3092/2018,3,4/5/2018,4/5/2021,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/13EHVEcW1dORnmI1SKBb1V0WB3qVrn9w0/view?usp=drive_link
2018,K/L,KemKominfo,Perjanjian Kerja Sama,Sekjen KKP,02/SJ/KKP/I/2018,Sekjen KemKominfo,01/SJ/KOMINFO/HK.03.02/01/2018,3,1/18/2018,1/18/2021,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1sUzb6pTnDj5BbtbpDFGIjTInhvcWgFIV/view?usp=drive_link
2018,BUMN,PT. PERTAMINA GAS,Perjanjian Kerja Sama,Sekjen KKP,01/SJ/KKP/PKS/I/2018,Presiden Direktur,004/PG0000/2018-SO,3,1/17/2018,1/17/2021,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1kBAAJce7Mgs7Q2it6JzPkSl-OxD6SdEk/view?usp=drive_link
2018,Ormas,Asosiasi Perikanan Pole & Line dan Handline Indonesia (AP2HI),Perjanjian Kerja Sama,Dirjen PT,02/PT/KKP/PKS/VI/2018,Sekjen AP2HI,001/PKS/AP2HI-DJPT/VI/2018,2,6/1/2018,6/1/2020,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/18bxaxYLKGvac8LFVyL42Dle64qHnSTcc/view?usp=drive_link
2018,K/L,TNI AL,Perjanjian Kerja Sama,Kadis Perawatan Personel AL,PKS/5/II/2018,Ses. BRSDMKP,01/BRSDM/KKP/PKS/2018,2,2/21/2018,2/21/2020,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1e5NNeXMYwZs6QGGOyGd7WPYv8s3mTmlI/view?usp=drive_link
2018,Ormas,KemenTan,Kesepakatan Bersama,MKP,01/MEN-KP/KB/I/2018,MenTan,02/Mou.HK.220/1/2018,2,1/11/2018,1/11/2020,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1TBVnBVhuClmRgJ-kYElIKeoyto6oSE3S/view?usp=drive_link
2018,K/L,BNN Kabupaten Karawang,Perjanjian Kerja Sama,Ka. BNN Kab Karawang,PKS/05/V/2018/BNNK KRW,Dir. Poltek KP Karawang,520/POLTEK.KRW/KS.320/V/2018,1,5/23/2018,5/23/2019,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1qXXcO56QutWa03tF2Ydhda0s21YxAxS9/view?usp=drive_link
